DATE       ,USD ,AED    ,AFN     ,ALL    ,AMD    ,ANG  ,AOA      ,ARS      ,AUD    ,AWG  ,AZN    ,BAM    ,BBD ,BDT      ,BGN    ,BHD    ,BIF     ,BMD ,BND    ,BOB  ,BRL    ,BSD ,BTC           ,BTN     ,BWP     ,BYN    ,BZD ,CAD    ,CDF       ,CHF    ,CLP       ,CNY    ,COP       ,CRC     ,CVE      ,CZK     ,DJF     ,DKK    ,DOP     ,DZD      ,EGP     ,ERN     ,ETB     ,EUR    ,FJD    ,GBP    ,GEL    ,GHS     ,GIP    ,GMD     ,GNF        ,GTQ    ,GYD    ,HKD    ,HNL     ,HRK    ,HTG    ,HUF      ,IDR        ,ILS    ,INR     ,IQD       ,IRR        ,ISK      ,JMD      ,JOD    ,JPY      ,KES      ,KGS     ,KHR    ,KMF      ,KRW       ,KWD    ,KYD    ,KZT      ,LAK        ,LBP     ,LKR      ,LRD      ,LTL    ,LVL   ,LSL     ,LYD    ,MAD     ,MDL     ,MGA      ,MKD     ,MMK       ,MNT      ,MOP    ,MRU     ,MTL    ,MUR     ,MVR    ,MWK       ,MXN     ,MYR    ,MZN     ,NAD   ,NGN      ,NIO     ,NOK     ,NPR      ,NZD    ,OMR    ,PAB ,PEN    ,PGK    ,PHP     ,PKR      ,PLN    ,PYG      ,QAR    ,RON    ,RSD      ,RUB      ,RWF       ,SAR    ,SBD    ,SCR     ,SDG      ,SEK     ,SGD    ,SKK    ,SRD     ,SSP       ,STN     ,SYP       ,SZL     ,THB     ,TJS     ,TMT  ,TND    ,TOP    ,TRY     ,TTD    ,TWD    ,TZS       ,UAH     ,UGX       ,UYU     ,UZS        ,VES          ,VND      ,VUV    ,WST    ,XAF      ,XCD ,XOF      ,XPF      ,YER     ,ZAR     ,ZMW
1970-01-01 ,  1 ,0      , 0      ,  0    ,  0    ,0    ,  0      ,  0      ,0      ,0    ,0      ,0      ,  0 ,  0      ,0      ,0      ,   0    ,  0 ,0      ,0    ,0      ,  0 , 0            , 0      , 0      ,0      ,  0 ,0      ,   0      ,0      ,   0      ,0      ,   0      ,  0     ,  0      , 0      ,  0     ,0      , 0      ,  0      , 0      , 0      , 0      ,0      ,0      ,0      ,0      , 0      ,0      , 0      ,    0      ,0      ,  0    ,0      , 0      ,0      ,  0    ,  0      ,    0      ,0      , 0      ,   0      ,    0      ,  0      ,  0      ,0      ,  0      ,  0      , 0      ,   0   ,  0      ,   0      ,0      ,0      ,  0      ,    0      ,    0   ,  0      ,  0      ,0      ,0     , 0      ,0      , 0      , 0      ,   0     , 0      ,   0      ,   0     ,0      , 0      ,0      , 0      , 0     ,   0      , 0      ,0      , 0      , 0    ,  0      , 0      , 0      ,  0      ,0      ,0      ,  0 ,0      ,0      , 0      ,  0      ,0      ,   0     ,0      ,0      ,  0      ,  0      ,   0      ,0      ,0      , 0      ,  0      , 0      ,0      , 0     , 0      ,   0      , 0      ,   0      , 0      , 0      , 0      ,   0 ,0      ,0      , 0      ,0      , 0     ,   0      , 0      ,   0      , 0      ,    0      ,      0      ,    0    ,  0    ,0      ,  0      ,0   ,  0      ,  0      ,   0    , 0      , 0
2000-01-01 ,  1 ,3.6725 ,46.7911 ,135.12 ,523.77 ,1.79 ,  5.5799 ,  0.9995 ,1.5243 ,1.79 ,0.8756 ,1.9468 ,  2 , 51      ,1.9469 ,0.3760 , 628.58 ,  1 ,1.6662 ,5.99 ,1.809  ,  1 , 0            ,43.49   , 4.6317 ,0.0100 ,  2 ,1.444  ,   4.4999 ,1.593  , 530.07   ,8.2795 ,1873.77   ,298.19  ,107.575  ,35.979  ,177.721 ,7.395  ,15.91   , 69.3143 , 3.405  , 9.6    , 8.134  ,0.9930 ,1.9657 ,0.6191 ,1.93   , 0.3535 ,0.6186 ,11.5476 , 1736      ,7.8208 ,180.5  ,7.774  ,14.5039 ,7.6476 , 19.67 ,252.52   , 7085      ,4.153  ,43.51   ,1938.6622 , 1752.2932 , 72.55   , 41.2907 ,0.7089 ,102.16   , 72.9306 ,45.4293 ,3770   ,489.7150 ,1136      ,0.3041 ,0.8333 ,138.2    , 7600      , 1507.5 , 71.75   , 39.5    ,4      ,0.583 , 7.0956 ,0.4620 ,10.087  ,11.5902 ,1308.64  ,60.3391 ,   6.2683 ,1072.37  ,8.0049 ,22.5    ,0.4120 ,25.468  ,11.77  ,  46.4377 , 9.48   ,3.8    ,13.3    , 6.94 , 97.95   ,12.318  , 8.01   , 68.725  ,1.9105 ,0.3845 ,  1 ,3.51   ,2.6954 ,40.313  , 51.7846 ,4.1483 ,3328.86  ,3.64   ,1.8255 , 11.6615 , 27      , 349.5302 ,3.75   ,5.0761 , 5.3676 ,  2.577  , 8.505  ,1.667  ,42.266 , 0.9875 ,   1      , 7.3    ,  11.225  , 6.1545 ,37.75   , 1.436  ,5200 ,1.2525 ,1.6077 , 0.5414 ,6.2999 ,31.39  , 797.33   , 5.2163 ,1506.04   ,11.3393 ,  140      ,      0.6493 ,14028    ,128.89 ,3.0184 ,652.9534 ,2.7 ,652.9534 ,118.7852 , 159.1  , 6.16   , 2.6321
2000-01-03 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5172 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.805  ,    ,              ,        ,        ,       ,    ,1.4465 ,          ,1.5808 ,          ,8.2798 ,          ,        ,         ,        ,        ,7.329  ,        ,         ,        ,        ,        ,0.9847 ,       ,0.6146 ,       ,        ,       ,        ,           ,       ,       ,7.7765 ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,101.7    ,         ,        ,       ,         ,1128      ,       ,       ,         ,           ,        , 72.3    ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.4015 ,3.8    ,        ,      ,         ,        , 7.964  ,         ,1.9033 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.443  ,1.6563 ,       ,        ,          ,        ,          ,        ,36.97   ,        ,     ,       ,       ,        ,       ,31.38  ,          ,        ,          ,        ,           ,      0.6498 ,         ,       ,       ,         ,    ,         ,         ,        , 6.126  ,  
2000-01-04 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5239 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.8405 ,    ,              ,        ,        ,       ,    ,1.4518 ,          ,1.5565 ,          ,8.2799 ,          ,        ,         ,        ,        ,7.218  ,        ,         ,        ,        ,        ,0.9700 ,       ,0.6108 ,       ,        ,       ,        ,           ,       ,       ,7.7775 ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,103.09   ,         ,        ,       ,         ,1122.5    ,       ,       ,         ,           ,        , 72.65   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.457  ,3.8    ,        ,      ,         ,        , 7.934  ,         ,1.9238 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.36   ,1.6535 ,       ,        ,          ,        ,          ,        ,37.13   ,        ,     ,       ,       ,        ,       ,30.6   ,          ,        ,          ,        ,           ,      0.6502 ,         ,       ,       ,         ,    ,         ,         ,        , 6.085  ,  
2000-01-05 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5267 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.856  ,    ,              ,        ,        ,       ,    ,1.4518 ,          ,1.5526 ,          ,8.2798 ,          ,        ,         ,        ,        ,7.208  ,        ,         ,        ,        ,        ,0.9675 ,       ,0.6091 ,       ,        ,       ,        ,           ,       ,       ,7.778  ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,103.77   ,         ,        ,       ,         ,1135      ,       ,       ,         ,           ,        , 72.95   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.535  ,3.8    ,        ,      ,         ,        , 7.935  ,         ,1.9338 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.353  ,1.656  ,       ,        ,          ,        ,          ,        ,37.1    ,        ,     ,       ,       ,        ,       ,30.8   ,          ,        ,          ,        ,           ,      0.6515 ,         ,       ,       ,         ,    ,         ,         ,        , 6.07   ,  
2000-01-06 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5290 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.84   ,    ,              ,        ,        ,       ,    ,1.4571 ,          ,1.554  ,          ,8.2797 ,          ,        ,         ,        ,        ,7.2125 ,        ,         ,        ,        ,        ,0.9686 ,       ,0.6069 ,       ,        ,       ,        ,           ,       ,       ,7.7785 ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,105.19   ,         ,        ,       ,         ,1146.5    ,       ,       ,         ,           ,        , 72.95   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.567  ,3.8    ,        ,      ,         ,        , 7.94   ,         ,1.9436 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.3675 ,1.6655 ,       ,        ,          ,        ,          ,        ,37.62   ,        ,     ,       ,       ,        ,       ,31.75  ,          ,        ,          ,        ,           ,      0.6502 ,         ,       ,       ,         ,    ,         ,         ,        , 6.08   ,  
2000-01-07 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5271 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.831  ,    ,              ,        ,        ,       ,    ,1.4505 ,          ,1.5623 ,          ,8.2794 ,          ,        ,         ,        ,        ,7.2285 ,        ,         ,        ,        ,        ,0.9714 ,       ,0.6103 ,       ,        ,       ,        ,           ,       ,       ,7.7783 ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,105.17   ,         ,        ,       ,         ,1138      ,       ,       ,         ,           ,        , 73.15   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.52   ,3.8    ,        ,      ,         ,        , 7.966  ,         ,1.9379 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.415  ,1.6625 ,       ,        ,          ,        ,          ,        ,37.3    ,        ,     ,       ,       ,        ,       ,30.85  ,          ,        ,          ,        ,           ,      0.6508 ,         ,       ,       ,         ,    ,         ,         ,        , 6.057  ,  
2000-01-10 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5241 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.819  ,    ,              ,        ,        ,       ,    ,1.4568 ,          ,1.5704 ,          ,8.2794 ,          ,        ,         ,        ,        ,7.254  ,        ,         ,        ,        ,        ,0.9754 ,       ,0.6107 ,       ,        ,       ,        ,           ,       ,       ,7.7785 ,        ,       ,       ,         ,           ,       ,43.55   ,          ,           ,         ,         ,       ,105.28   ,         ,        ,       ,         ,1133.5    ,       ,       ,         ,           ,        , 73.3    ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.445  ,3.8    ,        ,      ,         ,        , 8.024  ,         ,1.9349 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.449  ,1.6618 ,       ,        ,          ,        ,          ,        ,37.27   ,        ,     ,       ,       ,        ,       ,30.83  ,          ,        ,          ,        ,           ,      0.6518 ,         ,       ,       ,         ,    ,         ,         ,        , 6.0765 ,  
2000-01-11 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5209 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.8225 ,    ,              ,        ,        ,       ,    ,1.457  ,          ,1.5605 ,          ,8.2795 ,          ,        ,         ,        ,        ,7.214  ,        ,         ,        ,        ,        ,0.9688 ,       ,0.6067 ,       ,        ,       ,        ,           ,       ,       ,7.7785 ,        ,       ,       ,         ,           ,       ,43.6    ,          ,           ,         ,         ,       ,106.09   ,         ,        ,       ,         ,1147      ,       ,       ,         ,           ,        , 73.35   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.4825 ,3.8    ,        ,      ,         ,        , 7.969  ,         ,1.9364 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.397  ,1.669  ,       ,        ,          ,        ,          ,        ,37.61   ,        ,     ,       ,       ,        ,       ,30.83  ,          ,        ,          ,        ,           ,      0.652  ,         ,       ,       ,         ,    ,         ,         ,        , 6.09   ,  
2000-01-12 ,  1 ,       ,        ,       ,       ,     ,         ,         ,1.5202 ,     ,       ,       ,    ,         ,       ,       ,        ,    ,       ,     ,1.835  ,    ,              ,        ,        ,       ,    ,1.455  ,          ,1.566  ,          ,8.2796 ,          ,        ,         ,        ,        ,7.236  ,        ,         ,        ,        ,        ,0.9726 ,       ,0.6073 ,       ,        ,       ,        ,           ,       ,       ,7.7787 ,        ,       ,       ,         ,           ,       ,43.6    ,          ,           ,         ,         ,       ,105.76   ,         ,        ,       ,         ,1144.5    ,       ,       ,         ,           ,        , 73.35   ,         ,       ,      ,        ,       ,        ,        ,         ,        ,          ,         ,       ,        ,       ,        ,       ,          , 9.515  ,3.8    ,        ,      ,         ,        , 7.977  ,         ,1.9286 ,       ,    ,       ,       ,        ,         ,       ,         ,       ,       ,         ,         ,          ,       ,       ,        ,         , 8.418  ,1.669  ,       ,        ,          ,        ,          ,        ,37.54   ,        ,     ,       ,       ,        ,       ,30.8   ,          ,        ,          ,        ,           ,      0.6526 ,         ,       ,       ,         ,    ,         ,         ,        , 6.0685 ,  
